name,fiscal_year,total,month_name,month,fiscal_month,year,date
school_income,2020,9467762.0,may,5,11,2020,2020-05-01
use_and_occupancy,2020,10075717.0,may,5,11,2020,2020-05-01
liquor,2020,2371224.0,may,5,11,2020,2020-05-01
other_nontax,2020,1148813.0,may,5,11,2020,2020-05-01
total_revenue,2020,31603377.0,may,5,11,2020,2020-05-01
real_estate,2020,19144381.0,apr,4,10,2020,2020-04-01
school_income,2020,19813494.0,apr,4,10,2020,2020-04-01
use_and_occupancy,2020,10975458.0,apr,4,10,2020,2020-04-01
liquor,2020,2597709.0,apr,4,10,2020,2020-04-01
other_nontax,2020,548700.0,apr,4,10,2020,2020-04-01
total_revenue,2020,53079741.0,apr,4,10,2020,2020-04-01
liquor,2020,4265032.0,mar,3,9,2020,2020-03-01
total_revenue,2020,156459002.0,mar,3,9,2020,2020-03-01
other_nontax,2020,1160770.0,mar,3,9,2020,2020-03-01
use_and_occupancy,2020,14640239.0,mar,3,9,2020,2020-03-01
real_estate,2020,134279251.0,mar,3,9,2020,2020-03-01
school_income,2020,2113710.0,mar,3,9,2020,2020-03-01
real_estate,2020,513902485.0,feb,2,8,2020,2020-02-01
school_income,2020,514750.0,feb,2,8,2020,2020-02-01
use_and_occupancy,2020,15707843.0,feb,2,8,2020,2020-02-01
liquor,2020,5770182.0,feb,2,8,2020,2020-02-01
other_nontax,2020,166107.0,feb,2,8,2020,2020-02-01
total_revenue,2020,536061367.0,feb,2,8,2020,2020-02-01
liquor,2020,7961797.0,jan,1,7,2020,2020-01-01
total_revenue,2020,109614398.0,jan,1,7,2020,2020-01-01
other_nontax,2020,41153.0,jan,1,7,2020,2020-01-01
school_income,2020,576488.0,jan,1,7,2020,2020-01-01
use_and_occupancy,2020,22208041.0,jan,1,7,2020,2020-01-01
real_estate,2020,78826920.0,jan,1,7,2020,2020-01-01
real_estate,2020,38818614.0,dec,12,6,2019,2019-12-01
school_income,2020,251331.0,dec,12,6,2019,2019-12-01
use_and_occupancy,2020,14314944.0,dec,12,6,2019,2019-12-01
liquor,2020,7324268.0,dec,12,6,2019,2019-12-01
other_nontax,2020,4619.0,dec,12,6,2019,2019-12-01
total_revenue,2020,60713776.0,dec,12,6,2019,2019-12-01
