sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Food and Beverage Products,381.0,1245689.0,1394940.0,2640629.0,2009,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",228.0,4495824.0,1669397.0,6165221.0,2009,Manufacturing
Other Manufacturing,1996.0,5702670.0,2976422.0,8679092.0,2009,Manufacturing
Retail Trade,8410.0,14056362.0,14196163.0,28252525.0,2009,
Transportation and Storage,988.0,1841661.0,843229.0,2684890.0,2009,
Publishing,227.0,3354747.0,449128.0,3803875.0,2009,Information
Broadcasting (TV and Radio),43.0,1709676.0,263154.0,1972830.0,2009,Information
Telecommunications,195.0,5265983.0,1969567.0,7235550.0,2009,Information
Other Information,521.0,931203.0,475621.0,1406824.0,2009,Information
Banking and Related Activities,350.0,1516295.0,440412.0,1956707.0,2009,
Financial Investment Services,439.0,11270218.0,3811275.0,15081493.0,2009,
Insurance,646.0,3684001.0,4433356.0,8117357.0,2009,
Construction,6904.0,18344135.0,8761107.0,27105242.0,2009,
Computer Services,790.0,1952596.0,959103.0,2911699.0,2008,Professional Services
Advertising,359.0,1655593.0,554430.0,2210023.0,2008,Professional Services
Management and Technical Consulting,2256.0,7190706.0,1734674.0,8925380.0,2008,Professional Services
Professional Services,9698.0,94190482.0,11321185.0,105511667.0,2008,
Architect and Engineering,935.0,3606794.0,1349304.0,4956098.0,2008,Professional Services
"Accounting, Tax and Payroll Services",875.0,11303431.0,976264.0,12279695.0,2008,Professional Services
Business Support Services,3408.0,4856162.0,2684935.0,7541097.0,2008,
Other Professional Services,1643.0,2923159.0,719721.0,3642880.0,2008,Professional Services
Unclassified,12434.0,5748103.0,775470.0,6523573.0,2008,
Educational Services,821.0,1573501.0,549768.0,2123269.0,2008,
Health and Social Services,5596.0,17189696.0,5707393.0,22897089.0,2008,
Sports,32.0,1493978.0,815752.0,2309730.0,2008,
Hotels and Other Accommodations,159.0,1153955.0,1228960.0,2382915.0,2008,
"Restaurants, Bars, and Other Food Services",4504.0,6133273.0,3356068.0,9489341.0,2008,
Other Personal Services,5573.0,6007240.0,1507552.0,7514792.0,2008,
All Other Sectors,2623.0,4641654.0,2326075.0,6967729.0,2008,
Legal Services,2840.0,65558203.0,5027689.0,70585892.0,2008,Professional Services
Other Information,509.0,994694.0,505275.0,1499969.0,2008,Information
Real Estate,31154.0,39988226.0,7055403.0,47043629.0,2008,
Retail Trade,8412.0,14587447.0,14598894.0,29186341.0,2008,
Construction,6976.0,15796303.0,9852914.0,25649217.0,2008,
Manufacturing,2646.0,22825353.0,6915037.0,29740390.0,2008,
Food and Beverage Products,381.0,950704.0,1461150.0,2411854.0,2008,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",225.0,14886761.0,2499566.0,17386327.0,2008,Manufacturing
Insurance,657.0,3273606.0,4650170.0,7923776.0,2008,
Wholesale Trade,3019.0,11663625.0,9607936.0,21271561.0,2008,
Other Manufacturing,2040.0,6987888.0,2954321.0,9942209.0,2008,Manufacturing
Transportation and Storage,1013.0,1849312.0,935704.0,2785016.0,2008,
Information,986.0,11318122.0,4475446.0,15793568.0,2008,
Publishing,226.0,2601280.0,562862.0,3164142.0,2008,Information
Broadcasting (TV and Radio),50.0,940101.0,276891.0,1216992.0,2008,Information
Telecommunications,201.0,6782047.0,3130418.0,9912465.0,2008,Information
Banking and Related Activities,399.0,2048138.0,1224724.0,3272862.0,2008,
Financial Investment Services,467.0,10120384.0,5599116.0,15719500.0,2008,
"Accounting, Tax and Payroll Services",830.0,11601629.0,1004055.0,12605684.0,2007,Professional Services
Architect and Engineering,856.0,3263400.0,1263951.0,4527351.0,2007,Professional Services
Computer Services,700.0,1393866.0,926629.0,2320495.0,2007,Professional Services
