category,fiscal_month,amount,fiscal_year,quarter,month
Closing Balance,4,1038.1,2021,1,10
Receipts - Disbursements,5,46.0,2021,1,11
Opening Balance,5,1038.1,2021,1,11
TRAN,5,0.0,2021,1,11
Closing Balance,5,1084.0,2021,1,11
Receipts - Disbursements,6,-155.6,2021,1,12
Opening Balance,6,1084.0,2021,1,12
TRAN,6,0.0,2021,1,12
Closing Balance,6,928.4,2021,1,12
Receipts - Disbursements,7,-45.4,2021,1,1
Opening Balance,7,928.4,2021,1,1
TRAN,7,0.0,2021,1,1
Closing Balance,7,883.0,2021,1,1
Receipts - Disbursements,8,61.2,2021,1,2
Opening Balance,8,883.0,2021,1,2
TRAN,8,0.0,2021,1,2
Closing Balance,8,944.2,2021,1,2
Receipts - Disbursements,9,-329.4,2021,1,3
Opening Balance,9,944.2,2021,1,3
TRAN,9,0.0,2021,1,3
Closing Balance,9,614.9,2021,1,3
Receipts - Disbursements,10,297.7,2021,1,4
Opening Balance,10,614.9,2021,1,4
TRAN,10,0.0,2021,1,4
Closing Balance,10,912.6,2021,1,4
Receipts - Disbursements,11,47.2,2021,1,5
Opening Balance,11,912.6,2021,1,5
TRAN,11,-300.0,2021,1,5
Closing Balance,11,659.8,2021,1,5
Receipts - Disbursements,12,-61.3,2021,1,6
Opening Balance,12,659.8,2021,1,6
TRAN,12,0.0,2021,1,6
Closing Balance,12,598.4,2021,1,6
Receipts - Disbursements,1,-76.6,2020,4,7
Opening Balance,1,966.4,2020,4,7
TRAN,1,0.0,2020,4,7
Closing Balance,1,889.8,2020,4,7
Receipts - Disbursements,2,-13.6,2020,4,8
Opening Balance,2,889.8,2020,4,8
TRAN,2,0.0,2020,4,8
Closing Balance,2,876.2,2020,4,8
Receipts - Disbursements,3,31.4,2020,4,9
Opening Balance,3,876.2,2020,4,9
TRAN,3,0.0,2020,4,9
Closing Balance,3,907.6,2020,4,9
Receipts - Disbursements,4,-97.5,2020,4,10
Opening Balance,4,907.6,2020,4,10
TRAN,4,0.0,2020,4,10
Closing Balance,4,810.1,2020,4,10
Receipts - Disbursements,5,-107.3,2020,4,11
Opening Balance,5,810.1,2020,4,11
TRAN,5,0.0,2020,4,11
Closing Balance,5,702.8,2020,4,11
Receipts - Disbursements,6,81.4,2020,4,12
Opening Balance,6,702.8,2020,4,12
TRAN,6,0.0,2020,4,12
Closing Balance,6,784.2,2020,4,12
Receipts - Disbursements,7,120.5,2020,4,1
Opening Balance,7,784.2,2020,4,1
TRAN,7,0.0,2020,4,1
Closing Balance,7,904.7,2020,4,1
Receipts - Disbursements,8,371.5,2020,4,2
Opening Balance,8,904.7,2020,4,2
TRAN,8,0.0,2020,4,2
Closing Balance,8,1276.2,2020,4,2
